City,State,Country,Lat,Lng
Daytona Beach,FL,USA,29.192243,-81.052688
DeKalb,IL,USA,41.930629,-88.75191
Decatur,IL,USA,39.85225,-88.933848
Denver,CO,USA,39.768035,-104.872655
Des Moines,IA,USA,41.576738,-93.617405
Detroit,MI,USA,42.3831,-83.102198
Dickinson,ND,USA,46.886113,-102.782719
Dillwyn,VA,USA,37.540218,-78.461611
Dover,DE,USA,39.158691,-75.517441
Dubuque,IA,USA,42.5045,-90.690008
Duluth,MN,USA,46.781017,-92.117979
Dunkirk,NY,USA,42.565406,-79.324134
Dunwoody,GA,USA,33.942267,-84.313968
Durham,NC,USA,35.980433,-78.914969
Eau Claire,WI,USA,44.82115,-91.492274
El Paso,TX,USA,31.84925,-106.437549
Elko,NV,USA,40.838712,-115.760661
Erie,PA,USA,42.12585,-80.086596
Eugene,OR,USA,44.053,-123.112172
Evansville,IN,USA,37.98415,-87.543299
Everett,WA,USA,47.963257,-122.19859
Fairfax,SC,USA,32.9591,-81.236348
Fargo,ND,USA,46.876633,-96.817112
Farmington,TN,USA,35.5011832,-86.7108312
Fayetteville,AR,USA,36.0718,-94.155684
Fayetteville,NC,USA,35.07165,-78.89924
Flagstaff,AZ,USA,35.189005,-111.619768
Flint,MI,USA,43.02285,-83.692799
Florence,SC,USA,34.181,-79.780399
Florissant,MO,USA,38.79735,-90.324303
Fort Lauderdale,FL,USA,26.14255,-80.139499
Fort Myers,FL,USA,26.63065,-81.850571
Fort Pierce,FL,USA,27.44125,-80.322034
Fort Smith,AR,USA,35.36785,-94.384737
Fort Wayne,IN,USA,41.07375,-85.139024
Fort Worth,TX,USA,32.753901,-97.336249
Framingham,MA,USA,42.305901,-71.437922
Franklinton,NC,USA,36.103642,-78.456609
Fredericksburg,VA,USA,38.299252,-77.487129
Freehold,NJ,USA,40.2588,-74.275599
Fresno,CA,USA,36.7806,-119.792874
Gainesville,FL,USA,29.67415,-82.336277
Gainesville,GA,USA,34.294073,-83.834977
Galesburg,IL,USA,40.950043,-90.377932
Galva,IL,USA,41.166594,-90.03891
Gilroy,CA,USA,37.0101,-121.57809
Glens Falls,NY,USA,43.311067,-73.645491
Grand Island,NE,USA,40.921832,-98.365852
Grand Rapids,MI,USA,42.96125,-85.655727
Granger,TX,USA,30.717889,-97.440716
Grayling,MI,USA,44.657275,-84.70952
Green Bay,WI,USA,44.5216,-87.98975
Greensboro,NC,USA,36.0789,-79.826888
Greenville,NC,USA,35.599826,-77.374398
Greenville,SC,USA,34.83865,-82.371555
Greenwood,MS,USA,33.517785,-90.191606
Gulfport,MS,USA,30.3861,-89.067682
Hagerstown,MD,USA,39.63795,-77.719277
Hamlet,NC,USA,34.889594,-79.709324
Harlingen,TX,USA,26.1953,-97.686274
Harrisburg,PA,USA,40.27605,-76.884503
Hartford,CT,USA,41.7657,-72.683866
Hattiesburg,MS,USA,31.31275,-89.306919
Helena,MT,USA,46.596522,-112.020381
Hidalgo,TX,USA,26.101848,-98.258372
Houston,TX,USA,29.7687,-95.386728
Huntsville,AL,USA,34.707048,-86.627723
Hutchinson,KS,USA,38.06549,-97.914214
Indianapolis,IN,USA,39.7764,-86.146196
Indio,CA,USA,33.7198,-116.228649
Iowa City,IA,USA,41.65825,-91.535124
Irving,TX,USA,32.857685,-96.969338
Jackson,MS,USA,32.3205,-90.207591
Jacksonville,FL,USA,30.33455,-81.657692
Johnstown,PA,USA,40.32535,-78.919548
Jonesboro,AR,USA,35.821828,-90.685768
Joplin,MO,USA,37.0818,-94.502974
Kalamazoo,MI,USA,42.2747,-85.588287
Kansas City,MO,USA,39.122312,-94.552009
Kellyville,OK,USA,35.940546,-96.216185
Kewaunee,WI,USA,44.460324,-87.511201
Kingman,AZ,USA,35.20702,-114.03197
Knoxville,TN,USA,35.97455,-83.946288
Lafayette,LA,USA,30.21525,-92.029499
Lake Charles,LA,USA,30.21085,-93.20291
Lamar,CO,USA,38.080272,-102.617507
Lamesa,TX,USA,32.732599,-101.955788
Lancaster,CA,USA,34.693064,-118.176425
Lansing,MI,USA,42.7091,-84.553996
Laredo,TX,USA,27.5343,-99.486599
Las Cruces,NM,USA,32.336067,-106.755756
Las Vegas,NV,USA,36.20575,-115.222799
Lawrenceville,NJ,USA,40.3014,-74.730154
Lexington,KY,USA,38.042746,-84.45946
Lima,OH,USA,40.74325,-84.111399
Lincoln,NE,USA,40.8164,-96.688171
Litchfield,IL,USA,39.175859,-89.656011
Little Rock,AR,USA,34.7224,-92.354076
Lodi,CA,USA,38.12325,-121.294424
Longmont,CO,USA,40.172807,-105.111699
Longview,TX,USA,32.517742,-94.76228
Longview,WA,USA,46.146499,-122.954952
Los Angeles,CA,USA,34.112101,-118.411201
Louisville,KY,USA,38.22475,-85.741156
Lubbock,TX,USA,33.57585,-101.875374
Macon,GA,USA,32.83675,-83.656839
Madison Heights,VA,USA,37.439904,-79.104148
Madison,WI,USA,43.0798,-89.387519
Madisonville,KY,USA,37.336612,-87.505401
Manasquan,NJ,USA,40.1128,-74.036956
Manchester,NH,USA,42.9836,-71.444899
Mansfield,OH,USA,40.762838,-82.526894
Mason City,IA,USA,43.151344,-93.198472
Mayer,AZ,USA,34.3978054,-112.2362734
McAllen,TX,USA,26.2155,-98.239316
Medford,OR,USA,42.3398,-122.853099
Melbourne,FL,USA,28.114987,-80.640115
Memphis,TN,USA,35.1056,-90.006991
Merced,CA,USA,37.296274,-120.484357
Mercerville-Hamilton Square,NJ,USA,40.230699,-74.671705
Meridian,MS,USA,32.380874,-88.712501
Miami,FL,USA,25.775667,-80.210845
Midland,MI,USA,43.623618,-84.229365
Midland,TX,USA,32.026491,-102.100151
Milwaukee,WI,USA,43.06335,-87.966623
Minneapolis,MN,USA,44.96185,-93.266849
Missoula,MT,USA,46.868752,-114.007576
Mobile,AL,USA,30.67745,-88.088959
Modesto,CA,USA,37.659799,-120.993923
Monroe,LA,USA,32.51165,-92.084921
Montgomery,AL,USA,32.3544,-86.284287
Mount Pleasant,MI,USA,43.596552,-84.778251
Muskegon,MI,USA,43.22755,-86.255534
Myrtle Beach,SC,USA,33.698789,-78.892156
Nashville,TN,USA,36.17155,-86.784829
New Brunswick,NJ,USA,40.4864,-74.445133
New Haven,CT,USA,41.3101,-72.924068
New London,CT,USA,41.329667,-72.09502
New Orleans,LA,USA,30.065846,-89.931355
New York,NY,USA,40.6698,-73.943849
Newark,NJ,USA,40.7241,-74.173245
Niagara Falls,NY,USA,43.09115,-79.016248
Noble,OK,USA,35.140935,-97.371847
Nogales,AZ,USA,31.363719,-110.932639
Norfolk,VA,USA,36.9232,-76.244943
Oak Brook village,IL,USA,41.8369,-87.952672
Oakland,CA,USA,37.771544,-122.22455
Oceanside,CA,USA,33.225074,-117.310286
Ogden,UT,USA,41.2279,-111.965818
Ojus,FL,USA,25.956367,-80.160199
Oklahoma City,OK,USA,35.46705,-97.513491
Olympia,WA,USA,47.041917,-122.893766
Omaha,NE,USA,41.2639,-96.011745
Orlando,FL,USA,28.504748,-81.374248
Oroville,CA,USA,39.501618,-121.565935
Owatonna,MN,USA,44.085186,-93.224317
Oxnard,CA,USA,34.197426,-119.213695
Palm Springs,CA,USA,33.77575,-116.528788
Palo Alto,CA,USA,37.3992,-122.139354
Parkersburg,WV,USA,39.263967,-81.542969
Pensacola,FL,USA,30.444741,-87.189537
Peoria,IL,USA,40.744964,-89.609225
Philadelphia,PA,USA,40.006817,-75.134678
Phoenix,AZ,USA,33.54255,-112.071399
Pine Bluff,AR,USA,34.2134,-92.018618
Pittsburg,KS,USA,37.413516,-94.699564
Pittsburgh,PA,USA,40.439207,-79.976702
Plano,TX,USA,33.046201,-96.746664
Plattsburgh,NY,USA,44.695461,-73.456825
Plymouth,MI,USA,42.37115,-83.467418
Pocatello,ID,USA,42.876211,-112.468515
Point Arena,CA,USA,38.911447,-123.690721
Polk City,FL,USA,28.182064,-81.824744
Pontiac,MI,USA,42.6491,-83.287192
Portland,ME,USA,43.667134,-70.207166
Portland,OR,USA,45.53825,-122.656496
Poughkeepsie,NY,USA,41.6958,-73.922473
Providence,RI,USA,41.82195,-71.419732
Provo,UT,USA,40.24715,-111.642674
Pueblo,CO,USA,38.27355,-104.620999
Raleigh,NC,USA,35.82195,-78.658753
Redding,CA,USA,40.5724,-122.364918
Reno,NV,USA,39.5387,-119.822499
Richmond,IN,USA,39.829543,-84.885425
Richmond,VA,USA,37.53105,-77.474584
Roachdale,IN,USA,39.848779,-86.800408
Roanoke,VA,USA,37.2784,-79.958399
Rochelle Park,NJ,USA,40.90645,-74.078386
Rochester,NY,USA,43.168651,-77.615838
Rockford,IL,USA,42.2703,-89.063149
Rolling Meadows,IL,USA,42.075033,-88.025016
Rosenberg,TX,USA,29.548565,-95.794566
Rouses Point village,NY,USA,44.992028,-73.365974
Russellville,AR,USA,35.271784,-93.140765
Sacramento,CA,USA,38.56685,-121.46736
Saginaw,MI,USA,43.41955,-83.949521
Salem,OR,USA,44.9245,-123.022057
Salina,KS,USA,38.815788,-97.617762
Salinas,CA,USA,36.684833,-121.635081
Salt Lake City,UT,USA,40.777267,-111.929921
Salton City,CA,USA,33.2986497,-115.9561112
San Antonio,TX,USA,29.45765,-98.505355
San Bernardino,CA,USA,34.13975,-117.292299
San Diego,CA,USA,32.81495,-117.13577
San Fernando,CA,USA,34.2895,-118.43499
San Francisco,CA,USA,37.79325,-122.554783
San Jose,CA,USA,37.304,-121.849783
San Luis Obispo,CA,USA,35.272866,-120.66481
San Marcos,TX,USA,29.880178,-97.929043
San Ramon,CA,USA,37.757423,-121.951068
Santa Barbara,CA,USA,34.4285,-119.721904
Santa Clara,CA,USA,37.365,-121.966706
Santa Clarita,CA,USA,34.413408,-118.510175
Santa Cruz,CA,USA,36.97325,-122.035821
Santa Fe,NM,USA,35.678502,-105.954149
Santa Maria,CA,USA,34.937031,-120.436881
Santa Rosa,CA,USA,38.4486,-122.700799
Sarasota,FL,USA,27.3361,-82.546599
Satsuma,TX,USA,29.9032802,-95.6032773
Savannah,GA,USA,32.024357,-81.131648
Schenectady,NY,USA,42.8018,-73.928102
Scranton,PA,USA,41.40405,-75.666103
Seattle,WA,USA,47.6218,-122.350326
Shreveport,LA,USA,32.47155,-93.797808
Silver Spring,MD,USA,39.01375,-77.024158
Sioux City,IA,USA,42.500151,-96.39395
Sioux Falls,SD,USA,43.544201,-96.7301
South Bend,IN,USA,41.6753,-86.265699
Spartanburg,SC,USA,34.944888,-81.928319
Spokane,WA,USA,47.6723,-117.414024
Sprague,WA,USA,47.300021,-117.974129
Springfield,IL,USA,39.781433,-89.644654
Springfield,MA,USA,42.115033,-72.539045
Springfield,MO,USA,37.1962,-93.286099
St. Cloud,MN,USA,45.553951,-94.170359
St. Louis,MO,USA,38.636050,-90.244299
St. Paul,MN,USA,44.947744,-93.103686
Stamford,CT,USA,41.096733,-73.552688
Stockton,CA,USA,37.96985,-121.306741
Sumter,SC,USA,33.944365,-80.392472
Sweetwater,TX,USA,32.469047,-100.404629
Syracuse,NY,USA,43.041059,-76.144067
Tacoma,WA,USA,47.252,-122.459766
Tallahassee,FL,USA,30.457,-84.281399
Tampa,FL,USA,27.959,-82.48212
Temple,TX,USA,31.097658,-97.363458
Terre Haute,IN,USA,39.4704,-87.383516
Thompson Falls,MT,USA,47.599577,-115.333665
Toledo,OH,USA,41.66395,-83.581649
Topeka,KS,USA,39.0379,-95.691999
Traverse City,MI,USA,44.754428,-85.602895
Trenton,NJ,USA,40.2234,-74.764224
Trinidad,CO,USA,37.168545,-104.50566
Tucson,AZ,USA,32.195816,-110.891717
Tucumcari,NM,USA,35.167449,-103.727482
Tulsa,OK,USA,36.12775,-95.916407
Tuscaloosa,AL,USA,33.2377,-87.540979
Utica,NY,USA,43.09685,-75.22838
Valdosta,GA,USA,30.849383,-83.278356
Ventura,CA,USA,34.2659,-119.258366
Vincennes,IN,USA,38.676164,-87.511101
Visalia,CA,USA,36.3254,-119.320574
Waco,TX,USA,31.56895,-97.183198
Ware Shoals,SC,USA,34.390109,-82.244227
Warsaw,IN,USA,41.239594,-85.847571
Washington,DC,USA,38.90505,-77.016167
Waterloo,IA,USA,42.49165,-92.351058
Waukesha,WI,USA,43.012467,-88.238208
Waycross,GA,USA,31.211945,-82.357737
Wayne,PA,USA,40.0439982,-75.3876905
Wenatchee,WA,USA,47.425661,-120.324928
West Palm Beach,FL,USA,26.7477,-80.126226
Wheeling,WV,USA,40.075067,-80.696995
White Plains,NY,USA,41.02085,-73.757422
Wichita,KS,USA,37.68735,-97.342674
Wilmington,DE,USA,39.735572,-75.529956
Wilmington,NC,USA,34.21245,-77.911299
Wilson,NC,USA,35.731769,-77.924457
Winchester,VA,USA,39.174479,-78.175001
Winnemucca,NV,USA,40.968285,-117.725732
Winona,MS,USA,33.489447,-89.726052
Winston-Salem,NC,USA,36.1021,-80.26291
Worcester,MA,USA,42.269633,-71.80892
Xenia,OH,USA,39.685027,-83.940808
Yakima,WA,USA,46.592633,-120.528908
Youngstown,OH,USA,41.0991,-80.646389
Yuma,AZ,USA,32.67745,-114.620157
